1357496186	1317106128	1357466237
869644951	829107268	869602271
1771567531	1731204279	1771535586
1236253627	1191594664	1236235662
3250810537	3206286043	3250784330
1358209501	1357916846	1358192039
1937076211	1936718441	1937052945
3001180725	3000825380	3001156577
3046078760	3005691894	3046054677
1647351480	1602634870	1647315656
1523396410	1482510745	1523371419
1150961298	1150590207	1150937505
904243109	903892220	904225219
908474130	908104913	908448982
535861124	495147140	535827139
1109035070	1068483783	1109010782
780578731	739893024	780554846
618380346	578009637	618345429
947498543	902926200	947475034
371258460	330821550	371240192
456646613	416095793	456623342
948285780	903540167	948251715
449514558	408957192	449489583
777467543	736822520	777449947
742488495	741773359	742470522
452552379	411921138	452536611
1032887124	1032525804	1032857862
1112097290	1071345744	1112073983
1403835683	1363307032	1403797927
1566166138	1446931145	1566146605
1366353006	1321615468	1366328011
538794618	538471858	538775891
703453518	662786360	703436251
617273287	616868585	617249175
536851321	536418772	536822382
743452555	743124426	743423639
619460668	619131849	619433766
827029025	786398988	827007891
1688550539	1647821262	1688526828
908376297	867887627	908352506
1647322956	1606782217	1647312469
1728748120	1688088264	1728719668
370411786	329768064	370399835
699794504	659308233	699776254
2826405279	2823337658	2826380920
2210749082	2170268976	2210724650
860502118	772602744	860485025
1930357838	1849299845	1930332548
574095892	485992625	574069689
572267809	531777439	572243113
453091439	452591724	453073622
1024463856	1024152306	1024439192
740866156	740483651	740840276
534909633	409204864	534886797
411838689	411518780	411820295
530422873	493081026	530397278
163073592	162785520	163055361
573058550	572735245	573032413
371819070	371484892	371793726
372560627	332073523	372531337
620980437	580391876	620954880
203778381	203459511	203760393
410659467	410338792	410628862
495169490	409969943	495150864
618491952	573764307	618468904
659232137	618540126	659202400
457846831	417109793	457823671
785096295	784781734	785070811
166055470	165750536	166031400
377583035	332921897	377558774
289218967	288892310	289184757
740241543	739879641	740214093
659318224	655924676	659294272
410934160	410173197	410909894
286568065	245892655	286544250
948153634	947787169	948138491
451173288	412351611	451145991
576233151	575915383	576210014
822868686	822490918	822845583
537454986	537052514	537428732
780058256	619784885	780034619
1029085351	987855199	1029061984
250178854	205463163	250158659
828045573	661321018	828008443
375110350	330447407	375092440
577994279	577368436	577970878
540256036	499606108	540232381
372719370	372416872	372692561
412430546	412076946	412405067
122961906	122658524	122944127
165714236	125176888	165696320
663530635	618804785	663506241
578639794	574901244	578615570
209391324	168716691	209366100
537177299	536934771	537167978
122265345	121922094	122247047
703136769	702806921	703111160
540037620	539696060	540010169
